                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6948,                 6.0249,                 3.3846,                0.93595,                 0.0117,                0.01273,                0.00674,                  2.092,                 2.1998,                 2.2843,               0.003328,               0.003328,               0.003328
                      2,                 2.1503,                 2.8602,                  1.637,                0.43197,                0.03792,                0.02724,                0.01553,                 1.9258,                 2.1191,                 1.4451,              0.0066504,              0.0066504,              0.0066504
                      3,                 1.9074,                 2.4511,                  1.321,                0.38846,                 0.0809,                0.05275,                0.02687,                 1.6682,                  1.842,                 1.2722,              0.0099617,              0.0099617,              0.0099617
                      4,                 1.6555,                 2.0323,                 1.1803,                0.22993,                0.18642,                0.11487,                0.06175,                 1.4418,                  1.579,                  1.146,              0.0099505,              0.0099505,              0.0099505
                      5,                 1.4854,                 1.6703,                 1.1067,                0.29862,                0.25947,                0.18939,                0.11227,                  1.281,                 1.3632,                 1.0624,              0.0099505,              0.0099505,              0.0099505
                      6,                 1.3846,                 1.4175,                 1.0657,                0.38303,                0.30432,                0.25257,                0.14937,                 1.1974,                 1.1406,                 1.0327,               0.009934,               0.009934,               0.009934
                      7,                 1.3034,                 1.2386,                  1.037,                0.43039,                0.34904,                0.32205,                0.19465,                 1.1506,                  1.005,                 1.0081,              0.0099175,              0.0099175,              0.0099175
                      8,                 1.2552,                 1.1399,                  1.024,                 0.4416,                0.42288,                0.38826,                0.24273,                 1.1054,                0.95236,                 1.0077,               0.009901,               0.009901,               0.009901
                      9,                 1.2052,                 1.0499,                 1.0075,                0.50782,                0.43896,                0.43585,                0.27067,                 1.0805,                0.87603,                0.98455,              0.0098845,              0.0098845,              0.0098845
                     10,                 1.1772,                0.99326,                0.99429,                0.54644,                 0.4454,                0.46323,                0.30355,                0.99536,                0.80952,                 0.9674,               0.009868,               0.009868,               0.009868
                     11,                 1.1454,                 0.9486,                 0.9824,                0.55795,                0.47002,                0.50427,                 0.3346,                0.99648,                0.78791,                0.95907,              0.0098515,              0.0098515,              0.0098515
                     12,                 1.1155,                 0.9057,                0.97452,                0.62458,                0.48347,                0.53676,                0.35142,                0.97677,                0.74131,                0.94756,               0.009835,               0.009835,               0.009835
                     13,                 1.0964,                0.87459,                0.96787,                0.57985,                  0.539,                0.56091,                0.36779,                0.97686,                 0.7167,                0.95016,              0.0098185,              0.0098185,              0.0098185
                     14,                 1.0797,                0.84924,                 0.9631,                0.67353,                0.53877,                0.57852,                0.38326,                0.95006,                0.68565,                 0.9365,               0.009802,               0.009802,               0.009802
                     15,                 1.0667,                0.83275,                0.95698,                0.66732,                0.52297,                0.57686,                0.38389,                0.94368,                0.67827,                0.93784,              0.0097855,              0.0097855,              0.0097855
                     16,                 1.0494,                0.81663,                0.95422,                0.67767,                 0.5628,                0.61705,                0.41827,                0.95171,                0.67373,                0.94007,               0.009769,               0.009769,               0.009769
                     17,                  1.041,                0.80405,                0.94959,                0.69556,                 0.5407,                0.62111,                0.41908,                0.92866,                0.66079,                 0.9292,              0.0097525,              0.0097525,              0.0097525
                     18,                 1.0374,                0.79519,                0.94803,                0.65606,                0.55582,                0.60778,                0.41079,                0.92474,                0.63449,                0.92803,               0.009736,               0.009736,               0.009736
                     19,                 1.0147,                0.76356,                0.94155,                 0.7524,                0.55886,                 0.6533,                0.45215,                0.89789,                0.62066,                0.91786,              0.0097195,              0.0097195,              0.0097195
                     20,                  1.009,                0.76148,                0.93558,                0.71017,                0.56197,                0.65185,                0.44604,                0.90614,                0.62294,                0.91965,               0.009703,               0.009703,               0.009703
                     21,                 1.0039,                0.75559,                0.93851,                 0.7319,                0.56338,                0.65815,                0.44971,                 0.9159,                0.60932,                0.92185,              0.0096865,              0.0096865,              0.0096865
                     22,                0.99837,                0.74784,                0.93815,                0.72284,                0.59226,                0.66611,                0.45246,                0.91312,                0.60748,                0.91965,                0.00967,                0.00967,                0.00967
                     23,                0.98828,                0.73761,                0.93202,                0.68937,                0.63297,                0.67538,                0.46402,                0.88835,                 0.5891,                0.91287,              0.0096535,              0.0096535,              0.0096535
                     24,                0.98375,                 0.7308,                0.93099,                 0.7538,                0.59691,                0.68467,                0.47042,                0.88638,                0.58328,                 0.9118,               0.009637,               0.009637,               0.009637
                     25,                0.97554,                0.72413,                 0.9284,                0.69128,                0.63403,                0.66848,                0.45642,                0.89623,                0.58062,                0.91092,              0.0096205,              0.0096205,              0.0096205
                     26,                0.96777,                0.71008,                0.92475,                0.73198,                0.61073,                0.68936,                0.47626,                0.87581,                0.57181,                0.90819,               0.009604,               0.009604,               0.009604
                     27,                0.96075,                 0.7068,                0.92181,                 0.7786,                0.60562,                0.69754,                 0.4869,                0.87054,                0.56529,                0.90836,              0.0095875,              0.0095875,              0.0095875
                     28,                0.96572,                0.70587,                0.92502,                0.70426,                0.65534,                0.70279,                0.48042,                0.87053,                0.56046,                0.90671,               0.009571,               0.009571,               0.009571
                     29,                0.96332,                0.69966,                0.92155,                0.77745,                0.62471,                0.71228,                0.49121,                0.86576,                0.55517,                0.90441,              0.0095545,              0.0095545,              0.0095545
                     30,                0.94833,                0.68831,                0.91945,                0.78721,                 0.6254,                0.70675,                0.49021,                0.85772,                0.55156,                0.90235,               0.009538,               0.009538,               0.009538
                     31,                0.95113,                0.69511,                0.92042,                0.75362,                0.63318,                0.71323,                 0.4981,                0.84802,                0.53765,                0.90164,              0.0095215,              0.0095215,              0.0095215
                     32,                0.93892,                0.68079,                0.91632,                0.81398,                0.62029,                0.72638,                0.50595,                0.84093,                0.54177,                0.89601,               0.009505,               0.009505,               0.009505
                     33,                0.93927,                 0.6787,                0.91721,                0.76894,                0.63977,                0.71918,                0.50237,                0.84222,                0.53794,                0.89611,              0.0094885,              0.0094885,              0.0094885
                     34,                0.93518,                0.67549,                 0.9154,                0.81948,                0.62611,                0.73041,                0.51298,                0.84342,                0.53345,                0.89502,               0.009472,               0.009472,               0.009472
                     35,                0.92605,                0.67148,                0.91303,                0.80688,                0.62577,                0.73166,                0.51241,                0.83471,                0.52545,                0.89465,              0.0094555,              0.0094555,              0.0094555
                     36,                0.92382,                0.66451,                0.90919,                0.82235,                0.63305,                0.73782,                0.51602,                 0.8387,                0.51788,                0.89379,               0.009439,               0.009439,               0.009439
                     37,                 0.9209,                0.65948,                0.90863,                0.83745,                0.62608,                0.73336,                0.52008,                0.82969,                0.51827,                0.89078,              0.0094225,              0.0094225,              0.0094225
                     38,                0.91124,                0.64754,                0.91142,                0.74767,                0.67183,                0.74108,                0.52859,                0.81749,                0.51072,                0.88991,               0.009406,               0.009406,               0.009406
                     39,                0.91519,                0.66152,                0.91158,                0.80073,                0.64503,                0.73427,                0.52337,                0.81763,                0.50895,                0.88925,              0.0093895,              0.0093895,              0.0093895
                     40,                0.91057,                0.64987,                0.91193,                0.79554,                0.65174,                0.73663,                0.51942,                0.82192,                0.50668,                 0.8879,               0.009373,               0.009373,               0.009373
                     41,                0.91606,                0.65542,                0.90746,                0.83158,                0.65588,                0.74756,                 0.5326,                0.81649,                0.50349,                0.88727,              0.0093565,              0.0093565,              0.0093565
                     42,                0.90808,                0.65048,                0.90513,                0.81652,                0.65278,                0.74633,                0.52967,                0.81324,                0.50086,                0.88754,                0.00934,                0.00934,                0.00934
                     43,                 0.8994,                0.63747,                0.90818,                0.80778,                0.66594,                0.74939,                 0.5347,                0.80506,                0.49616,                0.88443,              0.0093235,              0.0093235,              0.0093235
                     44,                0.90059,                0.63944,                0.90721,                0.84648,                0.65761,                0.75308,                0.53843,                0.80301,                0.49165,                0.88635,               0.009307,               0.009307,               0.009307
                     45,                0.89946,                0.63427,                0.90275,                 0.8196,                0.67197,                 0.7537,                0.54203,                0.80153,                0.49118,                0.88335,              0.0092905,              0.0092905,              0.0092905
                     46,                0.89684,                0.63567,                0.90374,                0.85088,                0.65206,                0.75585,                0.53891,                0.80298,                0.49325,                0.88268,               0.009274,               0.009274,               0.009274
                     47,                0.88981,                0.63497,                0.90105,                0.82984,                0.66458,                0.75179,                0.53814,                0.79789,                0.49011,                0.88076,              0.0092575,              0.0092575,              0.0092575
                     48,                0.88778,                0.62827,                 0.9012,                0.83135,                0.66408,                0.76015,                0.54486,                0.79575,                0.48244,                 0.8811,               0.009241,               0.009241,               0.009241
                     49,                 0.8927,                0.62905,                0.90534,                0.83497,                 0.6672,                0.76158,                0.54052,                0.79919,                0.48589,                0.88099,              0.0092245,              0.0092245,              0.0092245
                     50,                0.88657,                0.62772,                0.90122,                0.83006,                0.67666,                 0.7628,                0.54853,                0.79308,                0.49403,                0.88051,               0.009208,               0.009208,               0.009208
                     51,                0.88864,                0.62556,                0.89972,                0.82828,                 0.6784,                0.76652,                0.54756,                0.79421,                0.48275,                0.87959,              0.0091915,              0.0091915,              0.0091915
                     52,                0.88537,                0.62385,                 0.8961,                0.84516,                0.67381,                0.76756,                0.55319,                0.79196,                0.47865,                 0.8798,               0.009175,               0.009175,               0.009175
                     53,                0.88017,                0.61894,                0.89561,                0.83313,                0.67874,                0.76715,                0.55044,                0.79404,                0.48059,                0.88054,              0.0091585,              0.0091585,              0.0091585
                     54,                0.87778,                0.62098,                0.89891,                0.84006,                0.67819,                0.76894,                0.55151,                0.78852,                0.47613,                0.87937,               0.009142,               0.009142,               0.009142
                     55,                0.87613,                0.61306,                 0.8987,                0.83094,                0.68013,                0.76706,                0.54971,                0.78618,                0.46825,                 0.8774,              0.0091255,              0.0091255,              0.0091255
                     56,                0.87779,                0.61742,                0.89891,                0.85859,                0.66591,                0.77182,                0.55543,                0.78494,                0.46847,                0.87642,               0.009109,               0.009109,               0.009109
                     57,                0.87757,                0.61306,                0.89711,                0.84878,                0.67617,                 0.7719,                0.55643,                0.78276,                 0.4685,                0.87609,              0.0090925,              0.0090925,              0.0090925
                     58,                0.87205,                0.61229,                0.89668,                0.85402,                0.68028,                0.77423,                0.55969,                0.78173,                0.46726,                0.87591,               0.009076,               0.009076,               0.009076
                     59,                0.87034,                0.60639,                0.89312,                0.85093,                 0.6835,                0.77657,                0.56059,                0.77816,                0.46419,                0.87526,              0.0090595,              0.0090595,              0.0090595
                     60,                 0.8636,                0.61041,                0.89442,                0.85305,                0.68502,                0.77539,                0.56025,                0.77683,                0.46529,                0.87481,               0.009043,               0.009043,               0.009043
                     61,                0.87084,                 0.6095,                0.89512,                0.85573,                0.68825,                0.77983,                0.56344,                0.77861,                0.46331,                0.87509,              0.0090265,              0.0090265,              0.0090265
                     62,                0.86723,                0.60309,                0.89494,                0.84204,                0.69643,                0.78346,                0.56523,                0.77837,                0.46373,                0.87362,                0.00901,                0.00901,                0.00901
                     63,                0.86614,                0.60272,                0.89254,                0.85507,                 0.6909,                0.78371,                0.56381,                0.78202,                0.46781,                0.87497,              0.0089935,              0.0089935,              0.0089935
                     64,                0.86556,                0.60668,                0.89322,                0.85197,                0.68815,                0.78055,                0.56634,                0.77537,                0.46001,                0.87325,               0.008977,               0.008977,               0.008977
                     65,                0.85525,                0.59592,                0.89176,                0.85793,                0.68719,                0.78122,                0.56537,                0.77578,                0.45725,                0.87283,              0.0089605,              0.0089605,              0.0089605
                     66,                0.85997,                0.59928,                0.89328,                0.86154,                0.68602,                0.78381,                0.57156,                0.76929,                0.45393,                0.87091,               0.008944,               0.008944,               0.008944
                     67,                0.86036,                0.59763,                0.88931,                0.86373,                0.69044,                0.78469,                0.57144,                0.77112,                0.45302,                 0.8704,              0.0089275,              0.0089275,              0.0089275
                     68,                 0.8589,                 0.5976,                0.89233,                0.84809,                 0.6965,                0.78434,                0.57052,                0.77026,                0.45257,                0.87029,               0.008911,               0.008911,               0.008911
                     69,                0.85682,                 0.5969,                0.89053,                0.84647,                0.70353,                0.78681,                0.57384,                0.77125,                0.45318,                0.87011,              0.0088945,              0.0088945,              0.0088945
                     70,                0.84962,                0.58812,                0.89035,                0.87104,                0.70448,                 0.7887,                 0.5743,                0.76883,                0.44963,                0.86994,               0.008878,               0.008878,               0.008878
                     71,                0.85344,                0.59384,                0.88613,                0.87831,                0.70109,                0.79055,                0.57657,                0.76776,                0.44902,                0.86985,              0.0088615,              0.0088615,              0.0088615
                     72,                0.85215,                0.59728,                0.88818,                0.85342,                0.70564,                0.79135,                0.57813,                0.76473,                0.44911,                0.86914,               0.008845,               0.008845,               0.008845
                     73,                 0.8486,                0.58395,                0.88889,                0.87834,                0.70152,                0.79173,                0.58205,                0.76322,                0.44809,                0.86808,              0.0088285,              0.0088285,              0.0088285
                     74,                0.84781,                0.59127,                0.88199,                0.88302,                0.70015,                0.79226,                0.57917,                0.76288,                 0.4497,                0.86738,               0.008812,               0.008812,               0.008812
